brand_set,gear_set,name,is_named,is_exotic,core_1,core_2,core_3,minor_1,minor_2,minor_3,talent_slot,mod_1,mod_2,mod_3
5.11 Tactical,,,false,false,,N/A,N/A,,,N/A,type:chest,type:gear-mod,N/A,N/A
Badger Tuff,,,false,false,,N/A,N/A,,,N/A,type:chest,type:gear-mod,N/A,N/A
Belstone Armory,,,false,false,,N/A,N/A,,,N/A,type:chest,type:gear-mod,N/A,N/A
Brazos de Arcabuz,,,false,false,,N/A,N/A,,,N/A,type:chest,type:gear-mod,N/A,N/A
Gila Guard,,,false,false,,N/A,N/A,,,N/A,type:chest,type:gear-mod,N/A,N/A
Golan Gear Ltd,,,false,false,,N/A,N/A,,,N/A,type:chest,type:gear-mod,N/A,N/A
Habsburg Guard,,,false,false,,N/A,N/A,,,N/A,type:chest,type:gear-mod,N/A,N/A
Improvised,,Improvised Chest,false,false,,N/A,N/A,,,N/A,type:chest,type:gear-mod,N/A,N/A
Lengmo,,,false,false,,N/A,N/A,,,N/A,type:chest,type:gear-mod,N/A,N/A
Palisade Steelworks,,,false,false,,N/A,N/A,,,N/A,type:chest,type:gear-mod,N/A,N/A
Uzina Getica,,,false,false,,N/A,N/A,,,N/A,type:chest,type:gear-mod,N/A,N/A
Yaahl Gear,,,false,false,,N/A,N/A,,,N/A,type:chest,type:gear-mod,N/A,N/A
Alps Summit Armaments,,,false,false,,N/A,N/A,,,N/A,type:chest,type:gear-mod,N/A,N/A
China Light Industries,,,false,false,,N/A,N/A,,,N/A,type:chest,type:gear-mod,N/A,N/A
Electrique,,,false,false,,N/A,N/A,,,N/A,type:chest,type:gear-mod,N/A,N/A
Empress International,,,false,false,,N/A,N/A,,,N/A,type:chest,type:gear-mod,N/A,N/A
Hana-U Corporation,,,false,false,,N/A,N/A,,,N/A,type:chest,type:gear-mod,N/A,N/A
Murakami Industries,,,false,false,,N/A,N/A,,,N/A,type:chest,type:gear-mod,N/A,N/A
Richter & Kaiser GmbH,,,false,false,,N/A,N/A,,,N/A,type:chest,type:gear-mod,N/A,N/A
Royal Works,,,false,false,,N/A,N/A,,,N/A,type:chest,type:gear-mod,N/A,N/A
Royal Works,,Robin,true,false,,N/A,N/A,,,N/A,fixed:Perfect Gunslinger,type:gear-mod,N/A,N/A
Shiny Monkey,,,false,false,,N/A,N/A,,,N/A,type:chest,type:gear-mod,N/A,N/A
Wyvern Wear,,,false,false,,N/A,N/A,,,N/A,type:chest,type:gear-mod,N/A,N/A
Airaldi Holdings,,,false,false,,N/A,N/A,,,N/A,type:chest,type:gear-mod,N/A,N/A
Unit Alloys,,,false,false,,N/A,N/A,,,N/A,type:chest,type:gear-mod,N/A,N/A
