name,slot_type,family,is_named,is_exotic,base_damage,rpm,base_mag_size,reload_time,optimal_range,hsd,optics,magazine,muzzle,underbarrel,talent_slot,core_1,core_2,core_3,minor_1,minor_2,minor_3
Converted SMG-9 A2,main,SMG-9,FALSE,FALSE,,,,,,50,type:optics-short,type:mag-9mm,type:muzzle-9mm,type:underbarrel-short,type:smg,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
Converted SMG-9,main,SMG-9,FALSE,FALSE,,,,,,50,type:optics-short,type:mag-9mm,type:muzzle-9mm,N/A,type:smg,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
Purist,main,SMG-9,TRUE,FALSE,,,,,,50,type:optics-short,type:mag-9mm,type:muzzle-9mm,type:underbarrel-short,fixed:Perfect Streamline,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
MP5 ST,main,MP5,FALSE,FALSE,,,,,,50,type:optics-normal,type:mag-9mm,type:muzzle-9mm,type:underbarrel-long,type:smg,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
MP5A2,main,MP5,FALSE,FALSE,,,,,,50,type:optics-long,type:mag-9mm,type:muzzle-9mm,type:underbarrel-short,type:smg,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
MP5-N,main,MP5,FALSE,FALSE,,,,,,50,type:optics-short,type:mag-9mm,type:muzzle-9mm,type:underbarrel-long,type:smg,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
Cabaret,main,MP5,TRUE,FALSE,,,,,,50,type:optics-normal,type:mag-9mm,type:muzzle-9mm,type:underbarrel-long,fixed:Perfect Thunder Strike,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
CMMG Banshee,main,CMMG,FALSE,FALSE,,,,,,50,type:optics-short,type:mag-9mm,type:muzzle-9mm,type:underbarrel-short,type:smg,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
The Grudge,main,CMMG,TRUE,FALSE,,,,,,50,type:optics-short,type:mag-9mm,type:muzzle-9mm,type:underbarrel-short,fixed:Perfect Vindictive,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
Lady Death,main,CMMG,FALSE,TRUE,35409,900,32,1.76,21,50,fixed:Gaze of Death,fixed:Death's Hand,fixed:Death's Maw,fixed:Kiss of Death,fixed:Breathe Free,fixed:SMG Damage (Core),fixed:Critical Hit Chance (Core),N/A,type:weapon-minor,N/A,N/A
