name,type,category,parent,description,budget,max_tier,tier1_cost,tier2_cost,tier3_cost,tier4_cost,tier5_cost
Weapon Damage Hub,hub,N/A,N/A,N/A,45,N/A,N/A,N/A,N/A,N/A,N/A
This is my Rifle,node,talent,Weapon Damage Hub,N/A,N/A,3,5,5,5,N/A,N/A
Depleted Rounds,node,talent,Weapon Damage Hub,N/A,N/A,3,5,5,5,N/A,N/A
E.M.I,node,talent,Weapon Damage Hub,N/A,N/A,3,5,5,5,N/A,N/A
Gunslinger,node,talent,Weapon Damage Hub,N/A,N/A,3,5,5,5,N/A,N/A
Onslaught,node,talent,Weapon Damage Hub,N/A,N/A,3,5,5,5,N/A,N/A
Running the Gun,node,talent,Weapon Damage Hub,N/A,N/A,3,5,5,5,N/A,N/A
Spray and Pray,node,talent,Weapon Damage Hub,N/A,N/A,3,5,5,5,N/A,N/A
Signature Weapon Damage,node,talent,Signature Ammo Acquisition,N/A,N/A,4,10,10,10,10,N/A
Signature Ammo Acquisition,node,talent,N/A,N/A,N/A,1,0,N/A,N/A,N/A,N/A
Group Signature Ammo Acquisition,node,talent,Signature Ammo Acquisition,N/A,N/A,1,5,N/A,N/A,N/A,N/A
Fragmentation Grenade,node,item,N/A,The fragmentation grenade deals damage and causes targets to bleed,N/A,1,3,N/A,N/A,N/A,N/A
Diceros Special,node,item,N/A,A hard-hitting .357 Magnum revolver. Carries the Perfect Optimist talent,N/A,1,10,N/A,N/A,N/A,N/A
Explosive Ordnance,node,talent,N/A,N/A,N/A,3,5,5,8,N/A,N/A
Incombustible,node,talent,Explosive Ordnance,N/A,N/A,1,5,N/A,N/A,N/A,N/A
Stimulant Patch,node,talent,Explosive Ordnance,N/A,N/A,1,3,N/A,N/A,N/A,N/A
Artillery,node,item,N/A,The artillery turret launches ordnance at nearby targeted locations,N/A,1,5,N/A,N/A,N/A,N/A
Cyclone Magazine,node,item,Artillery,Mod to increase the turret's ammunition count,N/A,1,3,N/A,N/A,N/A,N/A
SHD CPU V2,node,item,Cyclone Magazine,Mod to increase the turret's damage,N/A,1,3,N/A,N/A,N/A,N/A
Demolitionist Tactical Link,node,talent,N/A,N/A,N/A,1,10,N/A,N/A,N/A,N/A
Vital Protection,node,talent,Demolitionist Tactical Link,N/A,N/A,1,5,N/A,N/A,N/A,N/A
Crisis Response,node,talent,Demolitionist Tactical Link,N/A,N/A,1,5,N/A,N/A,N/A,N/A
Braced for Impact,node,talent,Demolitionist Tactical Link,N/A,N/A,1,5,N/A,N/A,N/A,N/A
