name,type,category,parent,description,budget,max_tier,tier1_cost,tier2_cost,tier3_cost,tier4_cost,tier5_cost
Weapon Damage Hub,hub,N/A,N/A,N/A,45,N/A,N/A,N/A,N/A,N/A,N/A
This is my Rifle,node,talent,Weapon Damage Hub,N/A,N/A,3,5,5,5,N/A,N/A
Depleted Rounds,node,talent,Weapon Damage Hub,N/A,N/A,3,5,5,5,N/A,N/A
E.M.I,node,talent,Weapon Damage Hub,N/A,N/A,3,5,5,5,N/A,N/A
Gunslinger,node,talent,Weapon Damage Hub,N/A,N/A,3,5,5,5,N/A,N/A
Onslaught,node,talent,Weapon Damage Hub,N/A,N/A,3,5,5,5,N/A,N/A
Running the Gun,node,talent,Weapon Damage Hub,N/A,N/A,3,5,5,5,N/A,N/A
Spray and Pray,node,talent,Weapon Damage Hub,N/A,N/A,3,5,5,5,N/A,N/A
Signature Weapon Damage,node,talent,Signature Ammo Acquisition,N/A,N/A,4,10,10,10,10,N/A
Signature Ammo Acquisition,node,talent,N/A,N/A,N/A,1,0,N/A,N/A,N/A,N/A
Group Signature Ammo Acquisition,node,talent,Signature Ammo Acquisition,N/A,N/A,1,5,N/A,N/A,N/A,N/A
Riot Foam Grenade,node,item,N/A,The riot foam grenade ensnares enemies,N/A,1,3,N/A,N/A,N/A,N/A
P320 XCompact,node,item,N/A,9mm service pistol of the US military. Carries the Perfect Preservation talent,N/A,1,10,N/A,N/A,N/A,N/A
Incessant,node,talent,N/A,N/A,N/A,3,3,3,6,N/A,N/A
Coupler,node,talent,Incessant,N/A,N/A,3,3,3,5,N/A,N/A
Hardened Armor Kits,node,talent,Incessant,N/A,N/A,1,3,N/A,N/A,N/A,N/A
Banshee,node,item,N/A,The banshee launches a forward arc of pulse energy that disorients enemies caught in the wave. Penetrates cover,N/A,1,5,N/A,N/A,N/A,N/A
Microwave Amplifier,node,item,Banshee,Mod to increase the duration of the banshee confuse effect,N/A,1,3,N/A,N/A,N/A,N/A
Directional Transmitter,node,item,Microwave Amplifier,Mod to increase the banshee range of effect,N/A,1,3,N/A,N/A,N/A,N/A
Supply Line,node,talent,N/A,N/A,N/A,1,10,N/A,N/A,N/A,N/A
Emplacement,node,talent,Supply Line,N/A,N/A,1,5,N/A,N/A,N/A,N/A
Vital Protection,node,talent,Supply Line,N/A,N/A,1,5,N/A,N/A,N/A,N/A
Barrage,node,talent,Supply Line,N/A,N/A,1,5,N/A,N/A,N/A,N/A
