name,type,category,parent,description,budget,max_tier,tier1_cost,tier2_cost,tier3_cost,tier4_cost,tier5_cost
Weapon Damage Hub,hub,N/A,N/A,N/A,45,N/A,N/A,N/A,N/A,N/A,N/A
This is my Rifle,node,talent,Weapon Damage Hub,N/A,N/A,3,5,5,5,N/A,N/A
Depleted Rounds,node,talent,Weapon Damage Hub,N/A,N/A,3,5,5,5,N/A,N/A
E.M.I,node,talent,Weapon Damage Hub,N/A,N/A,3,5,5,5,N/A,N/A
Gunslinger,node,talent,Weapon Damage Hub,N/A,N/A,3,5,5,5,N/A,N/A
Onslaught,node,talent,Weapon Damage Hub,N/A,N/A,3,5,5,5,N/A,N/A
Running the Gun,node,talent,Weapon Damage Hub,N/A,N/A,3,5,5,5,N/A,N/A
Spray and Pray,node,talent,Weapon Damage Hub,N/A,N/A,3,5,5,5,N/A,N/A
Signature Weapon Damage,node,talent,Signature Ammo Acquisition,N/A,N/A,4,10,10,10,10,N/A
Signature Ammo Acquisition,node,talent,N/A,N/A,N/A,1,0,N/A,N/A,N/A,N/A
Group Signature Ammo Acquisition,node,talent,Signature Ammo Acquisition,N/A,N/A,1,5,N/A,N/A,N/A,N/A
Incendiary Grenade,node,item,N/A,The incendiary grenade applies burn to targets within the radius,N/A,1,3,N/A,N/A,N/A,N/A
Survivalist D50,node,item,N/A,A hard-hitting but precise pistol. Carries the Perfect Sadist talent,N/A,1,10,N/A,N/A,N/A,N/A
Triage Specialist,node,talent,N/A,N/A,N/A,3,3,3,5,N/A,N/A
Elite Defense,node,talent,Triage Specialist,N/A,N/A,3,3,3,6,N/A,N/A
Distributed Repair,node,talent,Triage Specialist,N/A,N/A,1,3,N/A,N/A,N/A,N/A
Mender,node,item,N/A,"The mender seeker mine follows allies, repairing their armor",N/A,1,5,N/A,N/A,N/A,N/A
Magnetic Disc,node,item,Mender,Mod to increase the seeker mine's health,N/A,1,3,N/A,N/A,N/A,N/A
Larrea Tridentata,node,item,Magnetic Disc,Mod to increase the seeker mine's healing,N/A,1,3,N/A,N/A,N/A,N/A
Survivalist Tactical Link,node,talent,N/A,N/A,N/A,1,10,N/A,N/A,N/A,N/A
Vital Protection,node,talent,Survivalist Tactical Link,N/A,N/A,1,5,N/A,N/A,N/A,N/A
Crunch Time,node,talent,Survivalist Tactical Link,N/A,N/A,1,5,N/A,N/A,N/A,N/A
Scraping By,node,talent,Survivalist Tactical Link,N/A,N/A,1,5,N/A,N/A,N/A,N/A
